Case ID,Age,Breed,Weight,Medical History,Genetic Predispositions,Current Medications,Diet,Lifestyle,Environment,Vaccination Status,Neutering Status,Living Conditions,Disease,Stage,Conventional Treatment,Natural Remedies,Outcome
20205,12,Chihuahua,18,Allergy to Penicillin,Fungal susceptibility,Antihistamines,Hypoallergenic,Outdoor,Dry,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Amoxicillin,"Calendula, Coconut oil, Probiotics",Stable
20206,3,German Shepherd,14,None,Dermatitis,Insulin,Hypoallergenic,Active,Dry,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Amoxicillin,"Coconut oil, Probiotics, Aloe vera gel",Improved
20207,14,Poodle,25,Eye infections,None,None,High-protein,Active,Cold,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,Ketoconazole,"Tea tree oil, Probiotics, Calendula, Coconut oil",Recovered
20208,9,Labrador,17,Eye infections,Dermatitis,Heartworm Preventative,Balanced,Outdoor,Temperate,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,Fluconazole,"Calendula, Probiotics, Coconut oil",Stable
20209,6,Beagle,37,Allergy to Penicillin,Dermatitis,Antihistamines,Balanced,Active,Dry,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Initial,Ketoconazole,"Probiotics, Coconut oil, Tea tree oil",Recovered
20210,8,Golden Retriever,6,Eye infections,Dermatitis,Heartworm Preventative,Hypoallergenic,Active,Cold,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Severe,Cephalexin,"Aloe vera gel, Probiotics, Calendula, Coconut oil",Stable
20211,11,Chihuahua,26,Skin allergies,Dermatitis,Insulin,Low-sodium,Indoor,Temperate,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,Fluconazole,"Turmeric, Tea tree oil, Probiotics",Stable
20212,4,Bulldog,29,Eye infections,Dermatitis,Beta-blockers,Low-sodium,Indoor,Temperate,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Cephalexin,"Coconut oil, Probiotics, Calendula",Improved
20213,2,Golden Retriever,25,Allergy to Penicillin,Dermatitis,Insulin,Low-sodium,Active,Wet,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Probiotics, Aloe vera gel, Omega-3",Stable
20214,2,Golden Retriever,29,None,Dermatitis,Beta-blockers,High-protein,Outdoor,Cold,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Coconut oil, Turmeric, Calendula",Improved
20215,10,Bulldog,37,Allergy to Penicillin,Dermatitis,Beta-blockers,Grain-free,Outdoor,Temperate,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Chamomile, Omega-3, Probiotics",Stable
20216,8,Labrador,13,Skin allergies,Fungal susceptibility,Heartworm Preventative,Low-sodium,Outdoor,Temperate,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Cephalexin,"Aloe vera gel, Coconut oil, Calendula",Stable
20217,4,Poodle,33,Eye infections,None,Heartworm Preventative,Low-sodium,Indoor,Cold,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,Cephalexin,"Probiotics, Calendula, Coconut oil, Aloe vera gel",Recovered
20218,8,Labrador,24,Skin allergies,None,Beta-blockers,High-protein,Active,Cold,Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Coconut oil, Tea tree oil, Turmeric, Probiotics",Recovered
20219,8,Chihuahua,21,None,Dermatitis,Heartworm Preventative,High-protein,Outdoor,Humid,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Initial,Ketoconazole,"Probiotics, Calendula, Coconut oil",Recovered
20220,2,Cocker Spaniel,18,None,Dermatitis,Insulin,High-protein,Active,Temperate,Not Up-to-date,Neutered,Multi-pet,Staph Infection,Initial,Cephalexin,"Aloe vera gel, Calendula, Coconut oil",Improved
20221,5,Bulldog,22,Eye infections,Fungal susceptibility,None,Balanced,Active,Dry,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Probiotics, Lavender oil, Omega-3",Recovered
20222,12,Poodle,5,Eye infections,None,Heartworm Preventative,Low-sodium,Indoor,Cold,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,Cephalexin,"Turmeric, Aloe vera gel, Probiotics, Calendula",Recovered
20223,12,Cocker Spaniel,26,Eye infections,Fungal susceptibility,Insulin,Grain-free,Active,Wet,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,Ketoconazole,"Coconut oil, Probiotics, Tea tree oil, Turmeric",Improved
20224,11,Chihuahua,26,Eye infections,Dermatitis,Heartworm Preventative,High-protein,Indoor,Cold,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Probiotics, Sulphur, Aloe vera gel, Calendula",Improved
20225,15,Dachshund,26,Allergy to Penicillin,Fungal susceptibility,Antihistamines,Low-sodium,Outdoor,Wet,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Omega-3, Aloe vera gel, Lavender oil",Stable
20226,9,Cocker Spaniel,37,Skin allergies,Dermatitis,Antihistamines,High-protein,Outdoor,Cold,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Calendula, Probiotics, Aloe vera gel",Stable
20227,9,Labrador,29,Skin allergies,Fungal susceptibility,Heartworm Preventative,Balanced,Outdoor,Temperate,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Aloe vera gel, Lavender oil, Omega-3",Stable
20228,8,Golden Retriever,15,Skin allergies,Dermatitis,Antihistamines,Hypoallergenic,Indoor,Humid,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,Ketoconazole,"Probiotics, Tea tree oil, Calendula",Stable
20229,1,Dachshund,18,Skin allergies,None,Antihistamines,Balanced,Outdoor,Wet,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Lavender oil, Chamomile, Probiotics, Omega-3",Stable
20230,10,Labrador,31,Allergy to Penicillin,None,Beta-blockers,Balanced,Indoor,Wet,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Lavender oil, Omega-3, Aloe vera gel",Improved
20231,14,Golden Retriever,30,Skin allergies,None,Beta-blockers,Grain-free,Outdoor,Wet,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,Ketoconazole,"Calendula, Probiotics, Turmeric",Improved
20232,3,Golden Retriever,40,Eye infections,Fungal susceptibility,Insulin,Low-sodium,Active,Dry,Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,Fluconazole,"Probiotics, Coconut oil, Tea tree oil",Stable
20233,6,Beagle,28,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,Hypoallergenic,Outdoor,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Probiotics, Aloe vera gel, Omega-3",Recovered
20234,1,Cocker Spaniel,31,Skin allergies,None,None,Low-sodium,Indoor,Wet,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Aloe vera gel, Probiotics, Omega-3, Lavender oil",Recovered
20235,11,Labrador,36,Eye infections,Dermatitis,Antihistamines,Hypoallergenic,Indoor,Dry,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Aloe vera gel, Lavender oil, Probiotics, Chamomile",Improved
20236,15,Golden Retriever,13,Skin allergies,Fungal susceptibility,Beta-blockers,Hypoallergenic,Outdoor,Humid,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Cephalexin,"Probiotics, Calendula, Aloe vera gel",Improved
20237,11,Bulldog,16,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,Grain-free,Indoor,Temperate,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Initial,Ketoconazole,"Calendula, Coconut oil, Turmeric",Improved
20238,1,German Shepherd,35,Eye infections,None,Heartworm Preventative,High-protein,Active,Temperate,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Amoxicillin,"Probiotics, Coconut oil, Sulphur",Improved
20239,10,German Shepherd,11,Allergy to Penicillin,Dermatitis,Beta-blockers,Hypoallergenic,Outdoor,Dry,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Aloe vera gel, Calendula, Probiotics",Stable
20240,14,Cocker Spaniel,11,Eye infections,None,None,High-protein,Outdoor,Humid,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Calendula, Turmeric, Probiotics",Stable
20241,9,Beagle,5,Eye infections,Fungal susceptibility,Insulin,High-protein,Indoor,Wet,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Chamomile, Lavender oil, Probiotics, Omega-3",Stable
20242,10,Beagle,13,Allergy to Penicillin,Fungal susceptibility,None,Grain-free,Indoor,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Cephalexin,"Probiotics, Coconut oil, Calendula",Stable
20243,11,Cocker Spaniel,30,Allergy to Penicillin,None,Beta-blockers,Grain-free,Indoor,Dry,Up-to-date,Not Neutered,Single-pet,Staph Infection,Initial,Amoxicillin,"Aloe vera gel, Sulphur, Probiotics",Stable
20244,14,German Shepherd,14,None,None,Antihistamines,High-protein,Outdoor,Humid,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Amoxicillin,"Probiotics, Coconut oil, Calendula",Improved
20245,1,Labrador,13,Eye infections,Dermatitis,Beta-blockers,Low-sodium,Outdoor,Wet,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Turmeric, Aloe vera gel, Probiotics",Stable
20246,7,Dachshund,17,None,Dermatitis,Antihistamines,Hypoallergenic,Active,Wet,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Aloe vera gel, Coconut oil, Calendula, Sulphur",Stable
20247,10,Labrador,17,None,Fungal susceptibility,Antihistamines,Low-sodium,Indoor,Cold,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Severe,Cephalexin,"Turmeric, Aloe vera gel, Coconut oil, Probiotics",Improved
20248,3,German Shepherd,23,None,None,Antihistamines,Low-sodium,Active,Dry,Not Up-to-date,Neutered,Multi-pet,Staph Infection,Initial,Amoxicillin,"Coconut oil, Sulphur, Probiotics",Stable
20249,2,Dachshund,5,None,Fungal susceptibility,Antihistamines,High-protein,Active,Temperate,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,Fluconazole,"Calendula, Turmeric, Tea tree oil",Stable
20250,9,Dachshund,21,Allergy to Penicillin,Dermatitis,Heartworm Preventative,Hypoallergenic,Active,Cold,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Coconut oil, Aloe vera gel, Sulphur, Probiotics",Improved
20251,12,Golden Retriever,21,Skin allergies,Fungal susceptibility,Antihistamines,Hypoallergenic,Active,Wet,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Aloe vera gel, Lavender oil, Omega-3",Improved
20252,11,Poodle,17,Eye infections,None,Beta-blockers,Low-sodium,Indoor,Dry,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,Ketoconazole,"Coconut oil, Calendula, Tea tree oil, Probiotics",Stable
20253,9,Chihuahua,8,Skin allergies,Fungal susceptibility,Heartworm Preventative,Balanced,Active,Cold,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Severe,Cephalexin,"Coconut oil, Calendula, Turmeric, Probiotics",Recovered
20254,7,Golden Retriever,19,None,Dermatitis,Antihistamines,Grain-free,Outdoor,Temperate,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,Cephalexin,"Calendula, Turmeric, Aloe vera gel, Probiotics",Improved
20255,1,Beagle,36,Skin allergies,Dermatitis,None,Low-sodium,Indoor,Humid,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Initial,Ketoconazole,"Calendula, Probiotics, Turmeric",Stable
20256,13,Chihuahua,13,None,Dermatitis,Insulin,High-protein,Active,Wet,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Coconut oil, Aloe vera gel, Probiotics",Improved
20257,11,Chihuahua,17,None,Dermatitis,Heartworm Preventative,High-protein,Active,Wet,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Probiotics, Coconut oil, Turmeric",Improved
20258,5,Labrador,18,Skin allergies,Dermatitis,None,Low-sodium,Outdoor,Humid,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Initial,Ketoconazole,"Turmeric, Probiotics, Calendula",Stable
20259,12,Golden Retriever,12,Skin allergies,None,Heartworm Preventative,Grain-free,Indoor,Temperate,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Initial,Itraconazole,"Turmeric, Probiotics, Calendula",Improved
20260,6,Poodle,35,Eye infections,None,Insulin,Grain-free,Indoor,Cold,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Lavender oil, Omega-3, Aloe vera gel",Improved
20261,1,Cocker Spaniel,35,None,Dermatitis,Antihistamines,High-protein,Active,Cold,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,Fluconazole,"Tea tree oil, Calendula, Turmeric, Probiotics",Improved
20262,5,Dachshund,10,Eye infections,Dermatitis,Heartworm Preventative,Balanced,Active,Dry,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Chamomile, Aloe vera gel, Lavender oil",Stable
20263,13,Beagle,22,Allergy to Penicillin,None,None,High-protein,Active,Cold,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Coconut oil, Aloe vera gel, Calendula",Recovered
20264,8,Chihuahua,24,Skin allergies,Fungal susceptibility,Heartworm Preventative,Balanced,Indoor,Dry,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Aloe vera gel, Turmeric, Coconut oil, Probiotics",Stable
20265,11,Chihuahua,9,Allergy to Penicillin,Dermatitis,None,Hypoallergenic,Outdoor,Wet,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Cephalexin,"Probiotics, Sulphur, Coconut oil",Improved
20266,10,Cocker Spaniel,29,Eye infections,None,Heartworm Preventative,Grain-free,Outdoor,Temperate,Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Coconut oil, Calendula, Turmeric, Tea tree oil",Stable
20267,6,German Shepherd,33,Skin allergies,Fungal susceptibility,None,High-protein,Outdoor,Wet,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Probiotics, Omega-3, Aloe vera gel, Lavender oil",Recovered
20268,3,Poodle,30,None,Fungal susceptibility,Beta-blockers,Low-sodium,Indoor,Dry,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Turmeric, Aloe vera gel, Coconut oil",Recovered
20269,13,German Shepherd,31,Skin allergies,Fungal susceptibility,Beta-blockers,Balanced,Outdoor,Cold,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Initial,Ketoconazole,"Calendula, Turmeric, Probiotics",Stable
20270,9,Labrador,25,Eye infections,Fungal susceptibility,Heartworm Preventative,Balanced,Active,Humid,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,Cephalexin,"Probiotics, Turmeric, Calendula, Coconut oil",Recovered
20271,12,German Shepherd,30,None,Dermatitis,Beta-blockers,Balanced,Indoor,Humid,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Turmeric, Probiotics, Tea tree oil, Coconut oil",Improved
20272,5,Dachshund,36,Eye infections,None,Antihistamines,Grain-free,Active,Dry,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Lavender oil, Probiotics, Aloe vera gel, Chamomile",Stable
20273,5,German Shepherd,32,None,None,Insulin,Grain-free,Outdoor,Dry,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Turmeric, Aloe vera gel, Probiotics, Coconut oil",Improved
20274,4,Cocker Spaniel,39,Allergy to Penicillin,Dermatitis,None,High-protein,Active,Humid,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Lavender oil, Omega-3, Chamomile",Stable
20275,9,Cocker Spaniel,32,None,Fungal susceptibility,Beta-blockers,Low-sodium,Active,Temperate,Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Ketoconazole,"Tea tree oil, Calendula, Turmeric, Coconut oil",Recovered
20276,12,Chihuahua,5,Eye infections,Fungal susceptibility,Beta-blockers,Balanced,Active,Wet,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Calendula, Coconut oil, Turmeric, Probiotics",Improved
20277,12,Cocker Spaniel,5,Eye infections,Fungal susceptibility,None,Low-sodium,Indoor,Temperate,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Probiotics, Omega-3, Aloe vera gel",Recovered
20278,14,German Shepherd,14,Skin allergies,Dermatitis,None,Grain-free,Active,Dry,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Calendula, Aloe vera gel, Coconut oil",Stable
20279,10,Dachshund,28,None,None,Heartworm Preventative,Low-sodium,Outdoor,Humid,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Turmeric, Probiotics, Tea tree oil, Coconut oil",Improved
20280,15,Chihuahua,32,Eye infections,Dermatitis,None,High-protein,Active,Wet,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Severe,Cephalexin,"Calendula, Probiotics, Aloe vera gel, Coconut oil",Improved
20281,12,German Shepherd,19,Allergy to Penicillin,Dermatitis,None,Grain-free,Outdoor,Humid,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Lavender oil, Aloe vera gel, Probiotics",Improved
20282,8,Golden Retriever,15,Eye infections,None,Insulin,High-protein,Indoor,Temperate,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,Ketoconazole,"Turmeric, Coconut oil, Probiotics",Stable
20283,9,Labrador,23,Allergy to Penicillin,Dermatitis,Antihistamines,High-protein,Indoor,Wet,Up-to-date,Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Sulphur, Coconut oil, Aloe vera gel, Probiotics",Stable
20284,4,Dachshund,13,Allergy to Penicillin,Dermatitis,Beta-blockers,High-protein,Active,Temperate,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Probiotics, Omega-3, Aloe vera gel",Stable
20285,14,Labrador,11,Skin allergies,None,Antihistamines,Balanced,Active,Cold,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Initial,Itraconazole,"Calendula, Turmeric, Probiotics",Recovered
20286,2,Dachshund,34,None,None,Antihistamines,Hypoallergenic,Active,Wet,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Aloe vera gel, Sulphur, Probiotics, Calendula",Stable
20287,10,Dachshund,23,Skin allergies,Dermatitis,Insulin,Hypoallergenic,Indoor,Wet,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Coconut oil, Probiotics, Aloe vera gel",Improved
20288,12,Cocker Spaniel,21,None,None,None,High-protein,Indoor,Humid,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,Itraconazole,"Coconut oil, Calendula, Probiotics, Turmeric",Improved
20289,6,German Shepherd,8,None,None,None,Low-sodium,Indoor,Humid,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Probiotics, Aloe vera gel, Chamomile, Omega-3",Improved
20290,14,Poodle,14,Eye infections,None,Beta-blockers,Low-sodium,Active,Wet,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Amoxicillin,"Aloe vera gel, Coconut oil, Calendula",Recovered
20291,9,Labrador,23,None,Fungal susceptibility,Beta-blockers,Balanced,Outdoor,Humid,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,Ketoconazole,"Tea tree oil, Calendula, Coconut oil, Turmeric",Improved
20292,8,German Shepherd,18,Skin allergies,None,None,Hypoallergenic,Outdoor,Dry,Up-to-date,Not Neutered,Single-pet,Staph Infection,Initial,Amoxicillin,"Sulphur, Aloe vera gel, Probiotics",Improved
20293,14,Bulldog,37,Eye infections,Fungal susceptibility,Antihistamines,Grain-free,Active,Temperate,Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Probiotics, Turmeric, Tea tree oil, Calendula",Improved
20294,12,Chihuahua,32,Skin allergies,Dermatitis,None,High-protein,Indoor,Dry,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Omega-3, Lavender oil, Aloe vera gel",Recovered
20295,4,Beagle,30,Allergy to Penicillin,Fungal susceptibility,None,Low-sodium,Indoor,Cold,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Tea tree oil, Probiotics, Turmeric, Coconut oil",Recovered
20296,13,Beagle,28,Allergy to Penicillin,Fungal susceptibility,Insulin,Balanced,Outdoor,Cold,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Cephalexin,"Probiotics, Calendula, Turmeric",Recovered
20297,11,Labrador,15,Eye infections,Fungal susceptibility,Antihistamines,Grain-free,Active,Temperate,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Initial,Ketoconazole,"Coconut oil, Turmeric, Probiotics",Recovered
20298,5,Dachshund,28,Allergy to Penicillin,None,Insulin,Balanced,Active,Cold,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Severe,Cephalexin,"Calendula, Turmeric, Coconut oil, Aloe vera gel",Recovered
20299,7,Labrador,39,None,Dermatitis,Insulin,High-protein,Outdoor,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,Ketoconazole,"Calendula, Turmeric, Probiotics",Stable
20300,4,Golden Retriever,32,Eye infections,Fungal susceptibility,None,Grain-free,Active,Humid,Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,Itraconazole,"Coconut oil, Probiotics, Calendula",Stable
20301,3,Cocker Spaniel,36,None,None,Antihistamines,Grain-free,Active,Temperate,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Chamomile, Aloe vera gel, Probiotics",Improved
20302,12,Cocker Spaniel,7,Skin allergies,None,Insulin,Balanced,Outdoor,Dry,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,Fluconazole,"Coconut oil, Probiotics, Turmeric, Calendula",Improved
20303,5,Golden Retriever,26,Skin allergies,Dermatitis,None,Hypoallergenic,Active,Humid,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Aloe vera gel, Chamomile, Omega-3, Probiotics",Stable
20304,3,Chihuahua,40,Skin allergies,Dermatitis,Insulin,Hypoallergenic,Active,Temperate,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Coconut oil, Calendula, Sulphur",Improved
20305,6,Chihuahua,38,Eye infections,None,Antihistamines,Low-sodium,Outdoor,Wet,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Probiotics, Chamomile, Lavender oil, Omega-3",Improved
20306,4,German Shepherd,5,Eye infections,Dermatitis,Antihistamines,Grain-free,Outdoor,Wet,Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,Fluconazole,"Tea tree oil, Coconut oil, Turmeric",Improved
20307,12,Dachshund,26,Allergy to Penicillin,Dermatitis,Antihistamines,Low-sodium,Indoor,Wet,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Sulphur, Probiotics, Aloe vera gel",Improved
20308,12,Golden Retriever,34,Skin allergies,Fungal susceptibility,Beta-blockers,Balanced,Active,Wet,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Severe,Cephalexin,"Turmeric, Coconut oil, Probiotics, Aloe vera gel",Improved
20309,4,Dachshund,15,Skin allergies,Dermatitis,Heartworm Preventative,Hypoallergenic,Indoor,Temperate,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Severe,Cephalexin,"Turmeric, Calendula, Aloe vera gel, Coconut oil",Stable
20310,11,Labrador,14,Eye infections,Fungal susceptibility,Insulin,Hypoallergenic,Indoor,Cold,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Omega-3, Aloe vera gel, Lavender oil, Probiotics",Improved
20311,3,Poodle,34,Allergy to Penicillin,None,Insulin,Balanced,Indoor,Temperate,Up-to-date,Not Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Probiotics, Aloe vera gel, Calendula",Stable
20312,7,Golden Retriever,15,Eye infections,Dermatitis,Antihistamines,Grain-free,Active,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,Ketoconazole,"Turmeric, Tea tree oil, Calendula",Stable
20313,5,Cocker Spaniel,31,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,Hypoallergenic,Active,Wet,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Aloe vera gel, Coconut oil, Calendula, Sulphur",Recovered
20314,15,Cocker Spaniel,8,Eye infections,Dermatitis,Insulin,Balanced,Outdoor,Dry,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Aloe vera gel, Omega-3, Chamomile, Lavender oil",Improved
20315,11,Chihuahua,10,Skin allergies,None,Heartworm Preventative,Grain-free,Outdoor,Temperate,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,Ketoconazole,"Probiotics, Coconut oil, Calendula",Improved
20316,3,Golden Retriever,6,Eye infections,Dermatitis,Insulin,Grain-free,Active,Temperate,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Initial,Amoxicillin,"Sulphur, Probiotics, Calendula",Stable
20317,4,Beagle,32,Skin allergies,Dermatitis,Antihistamines,Grain-free,Outdoor,Humid,Up-to-date,Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Aloe vera gel, Calendula, Coconut oil, Sulphur",Stable
20318,3,Bulldog,15,Eye infections,Dermatitis,None,Grain-free,Active,Cold,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Initial,Itraconazole,"Turmeric, Coconut oil, Calendula",Improved
20319,5,Cocker Spaniel,31,Eye infections,Fungal susceptibility,None,Low-sodium,Outdoor,Wet,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Probiotics, Chamomile, Aloe vera gel",Recovered
20320,3,Chihuahua,37,None,Fungal susceptibility,Heartworm Preventative,High-protein,Active,Cold,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Probiotics, Aloe vera gel, Calendula",Recovered
