Case ID,Breed,Age,Weight,Medical History,Genetic Predispositions,Current Medications,Diet,Lifestyle,Environment,Vaccination Status,Neutering Status,Living Conditions,Disease,Stage,Severity Score,Symptom Count,Previous Treatment,Previous Treatment Response,Treatments Tried Count,Drug Allergies,Drug Interaction Risk,Cost Category,Availability Status,Conventional Treatment,Natural Remedies,Outcome
24766,Golden Retriever,11.8,46.2,Eye infections,Fungal susceptibility,Beta-blockers,Balanced,Active,Wet,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Moderate,25,9,Fluconazole,Success,2,,Low,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24767,Bulldog,0.5,32.1,Eye infections,Fungal susceptibility,Insulin,Grain-free,Outdoor,Humid,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Mild,23,3,,,0,"Penicillin, Cephalexin",High,Affordable,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24768,Shih Tzu,0.6,39.8,,Dermatitis,Beta-blockers,Grain-free,Outdoor,Temperate,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Moderate,54,10,Itraconazole,Success,3,,Low,Moderate,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
24769,Border Collie,2.7,44.9,Allergy to Penicillin,,Antihistamines,Balanced,Outdoor,Wet,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Mild,22,7,,,0,,Medium,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
24770,Border Collie,2.7,38.7,,,Insulin,Grain-free,Outdoor,Wet,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Moderate,62,6,,,0,,Low,Affordable,Limited,Fluconazole,"Coconut oil, Tea tree oil, Probiotics, Calendula",Recovered
24771,Rottweiler,4.7,28.7,Skin allergies,Fungal susceptibility,Heartworm Preventative,Low-sodium,Indoor,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,53,10,Ketoconazole,Partial,3,"Penicillin, Ketoconazole",High,Moderate,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
24772,Beagle,9.3,11.9,,Dermatitis,Beta-blockers,Balanced,Outdoor,Dry,Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,18,3,Cephalexin,Failure,2,,Medium,Expensive,Out of Stock,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Improved
24773,Chihuahua,4.8,7.2,Skin allergies,,Antihistamines,Balanced,Indoor,Cold,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Mild,83,10,Cephalexin,Partial,1,"Penicillin, Cephalexin",High,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
24774,Rottweiler,0.6,13.5,,,Antihistamines,High-protein,Outdoor,Wet,Not Up-to-date,Neutered,Single-pet,Staph Infection,Mild,39,1,Itraconazole,Success,2,,Low,Affordable,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24775,Border Collie,8.0,36.3,Eye infections,Dermatitis,,High-protein,Outdoor,Humid,Not Up-to-date,Neutered,Single-pet,Staph Infection,Moderate,12,2,,,0,,Medium,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
24776,German Shepherd,12.0,5.3,,Fungal susceptibility,Beta-blockers,Low-sodium,Outdoor,Humid,Not Up-to-date,Neutered,Multi-pet,Staph Infection,Mild,25,1,,,0,"Penicillin, Ketoconazole",Medium,Expensive,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24777,Beagle,4.4,39.0,Eye infections,Fungal susceptibility,Heartworm Preventative,Hypoallergenic,Indoor,Dry,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Moderate,38,8,,,0,,Low,Affordable,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
24778,Beagle,7.5,10.7,Eye infections,,Heartworm Preventative,Hypoallergenic,Active,Dry,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,67,6,Cephalexin,Partial,3,,Medium,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
24779,Poodle,6.2,15.0,Skin allergies,Dermatitis,Beta-blockers,High-protein,Outdoor,Dry,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Moderate,13,7,Amoxicillin,Failure,3,Cephalexin,Low,Expensive,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
24780,Siberian Husky,1.2,38.7,Allergy to Penicillin,,Beta-blockers,Hypoallergenic,Indoor,Tropical,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Severe,79,6,,,0,,Medium,Moderate,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
24781,Border Collie,4.7,47.4,Allergy to Penicillin,,,High-protein,Indoor,Temperate,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,43,2,Ketoconazole,Failure,3,Ketoconazole,Medium,Affordable,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24782,Beagle,13.4,36.4,,,Heartworm Preventative,Hypoallergenic,Indoor,Wet,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Mild,23,7,,,0,,High,Expensive,Backorder,Ketoconazole,"Coconut oil, Tea tree oil, Calendula",Improved
24783,Poodle,5.2,15.4,,,Antihistamines,Low-sodium,Active,Cold,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,56,3,Cephalexin,Success,1,Cephalexin,Medium,Expensive,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
24784,Yorkshire Terrier,7.4,19.0,,Fungal susceptibility,Insulin,Low-sodium,Outdoor,Wet,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,38,1,,,0,,High,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24785,Siberian Husky,13.6,7.9,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,Low-sodium,Active,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Mild,34,7,Itraconazole,Adverse Reaction,1,Cephalexin,High,Expensive,Out of Stock,Ketoconazole,"Coconut oil, Tea tree oil, Calendula",Improved
24786,Golden Retriever,11.0,31.3,Skin allergies,Dermatitis,,Low-sodium,Indoor,Cold,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Moderate,21,2,,,0,Cephalexin,Medium,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
24787,Siberian Husky,12.2,28.0,,Dermatitis,Insulin,Low-sodium,Active,Wet,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,43,8,Cephalexin,Failure,1,Cephalexin,Low,Expensive,Out of Stock,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Stable
24788,Rottweiler,9.6,48.2,Skin allergies,Dermatitis,Insulin,Low-sodium,Active,Humid,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Moderate,32,8,,,0,,Medium,Affordable,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
24789,German Shepherd,1.8,7.0,,Dermatitis,Insulin,Hypoallergenic,Active,Cold,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,29,6,,,0,,Low,Moderate,Limited,Fluconazole,"Coconut oil, Tea tree oil, Calendula",Improved
24790,Bulldog,6.2,24.7,,Dermatitis,Insulin,Grain-free,Outdoor,Temperate,Not Up-to-date,Neutered,Single-pet,Staph Infection,Mild,87,9,Fluconazole,Adverse Reaction,2,,Low,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
24791,Shih Tzu,3.4,6.0,Eye infections,Dermatitis,Heartworm Preventative,Hypoallergenic,Indoor,Cold,Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,88,1,Amoxicillin,Success,1,,High,Expensive,In Stock,Itraconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Recovered
24792,Boxer,0.8,38.7,Allergy to Penicillin,Dermatitis,Beta-blockers,Hypoallergenic,Outdoor,Dry,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,21,4,Fluconazole,Success,2,"Penicillin, Ketoconazole",Medium,Moderate,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
24793,Border Collie,7.5,42.5,,,Beta-blockers,Grain-free,Outdoor,Tropical,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,70,7,Cephalexin,Partial,2,,Low,Affordable,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
24794,Poodle,5.7,35.8,,Fungal susceptibility,Antihistamines,Balanced,Active,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Moderate,71,7,,,0,,Low,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
24795,Dachshund,7.6,31.4,Eye infections,,,Grain-free,Indoor,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,34,7,,,0,,Medium,Expensive,Backorder,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Recovered
24796,Cocker Spaniel,5.9,5.9,Allergy to Penicillin,Dermatitis,,Grain-free,Active,Dry,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Mild,37,7,Cephalexin,Adverse Reaction,1,Penicillin,Medium,Moderate,Backorder,Ketoconazole,"Coconut oil, Tea tree oil, Calendula",Recovered
24797,Dachshund,14.2,42.1,,Fungal susceptibility,Insulin,High-protein,Outdoor,Dry,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,55,9,,,0,,Medium,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24798,Boxer,5.0,48.0,,,Antihistamines,Hypoallergenic,Indoor,Wet,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,35,5,,,0,,High,Expensive,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
24799,Shih Tzu,4.9,23.3,Skin allergies,Dermatitis,Heartworm Preventative,High-protein,Outdoor,Dry,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,82,1,Fluconazole,Failure,2,,High,Moderate,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
24800,Cocker Spaniel,11.4,16.8,Allergy to Penicillin,,,High-protein,Outdoor,Tropical,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,53,1,,,0,,Medium,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24801,Siberian Husky,5.2,21.7,Eye infections,,Antihistamines,Grain-free,Outdoor,Wet,Not Up-to-date,Neutered,Single-pet,Staph Infection,Mild,27,7,Ketoconazole,Failure,3,,Low,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
24802,Golden Retriever,7.3,7.9,Eye infections,Fungal susceptibility,Beta-blockers,Hypoallergenic,Indoor,Dry,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,57,2,,,0,"Penicillin, Cephalexin",High,Affordable,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
24803,German Shepherd,0.8,46.1,,,,Low-sodium,Active,Tropical,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,40,9,Itraconazole,Success,3,Ketoconazole,Low,Affordable,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
24804,Poodle,5.6,6.9,,,Beta-blockers,Grain-free,Active,Cold,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Mild,16,10,Ketoconazole,Success,1,,Medium,Moderate,Limited,Fluconazole,"Coconut oil, Tea tree oil, Calendula",Stable
24805,Beagle,11.5,16.2,,Dermatitis,Antihistamines,Hypoallergenic,Active,Wet,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Moderate,32,6,Cephalexin,Adverse Reaction,2,,Low,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
24806,Chihuahua,3.1,48.2,Skin allergies,Dermatitis,Heartworm Preventative,Low-sodium,Outdoor,Humid,Up-to-date,Neutered,Multi-pet,Staph Infection,Moderate,45,8,,,0,Penicillin,High,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
24807,Beagle,13.8,7.1,Skin allergies,Fungal susceptibility,Heartworm Preventative,Grain-free,Active,Temperate,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Mild,73,3,,,0,Penicillin,Medium,Moderate,Out of Stock,Itraconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Recovered
24808,Chihuahua,13.5,44.8,Skin allergies,Dermatitis,,Grain-free,Indoor,Temperate,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,54,7,Cephalexin,Partial,1,,High,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24809,Yorkshire Terrier,9.7,27.4,,Dermatitis,Beta-blockers,Hypoallergenic,Outdoor,Wet,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,75,6,Fluconazole,Partial,3,Cephalexin,Low,Moderate,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
24810,Rottweiler,3.7,7.8,Allergy to Penicillin,,,Balanced,Outdoor,Wet,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,58,5,,,0,,Medium,Expensive,In Stock,Ketoconazole,"Coconut oil, Tea tree oil, Probiotics, Calendula",Stable
24811,Border Collie,9.3,41.5,,,Beta-blockers,Low-sodium,Active,Tropical,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Mild,51,8,,,0,,Medium,Moderate,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
24812,Poodle,10.5,10.7,Allergy to Penicillin,Fungal susceptibility,Insulin,Balanced,Active,Wet,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Initial,51,2,,,0,,Medium,Moderate,In Stock,Itraconazole,"Coconut oil, Tea tree oil, Probiotics, Calendula",Recovered
24813,Boxer,4.7,28.2,Allergy to Penicillin,,Beta-blockers,Grain-free,Active,Temperate,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Moderate,82,10,,,0,,Low,Affordable,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
24814,Beagle,9.6,5.5,Allergy to Penicillin,Dermatitis,,High-protein,Active,Wet,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Moderate,11,8,,,0,,Low,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24815,Chihuahua,9.4,37.3,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,High-protein,Outdoor,Dry,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Moderate,14,6,,,0,,High,Affordable,In Stock,Fluconazole,"Coconut oil, Tea tree oil, Calendula",Recovered
24816,Labrador,3.1,13.8,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,High-protein,Outdoor,Temperate,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Mild,16,9,,,0,,High,Moderate,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
24817,Yorkshire Terrier,4.3,47.1,Eye infections,,Insulin,High-protein,Indoor,Tropical,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,46,1,,,0,,Medium,Affordable,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
24818,Beagle,6.4,27.5,,,Beta-blockers,Low-sodium,Active,Tropical,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,76,9,Cephalexin,Partial,3,,Low,Moderate,Backorder,Ketoconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Stable
24819,Labrador,11.0,19.8,,Dermatitis,Insulin,Low-sodium,Active,Temperate,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,85,2,Cephalexin,Success,3,,Low,Affordable,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
24820,German Shepherd,2.0,33.4,Eye infections,Dermatitis,Insulin,Balanced,Outdoor,Cold,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,46,6,Fluconazole,Success,1,,Medium,Expensive,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24821,Poodle,10.2,14.5,Eye infections,Dermatitis,Heartworm Preventative,Balanced,Indoor,Cold,Up-to-date,Neutered,Multi-pet,Staph Infection,Mild,18,1,,,0,Penicillin,Medium,Expensive,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
24822,Beagle,1.0,33.9,Eye infections,Fungal susceptibility,Heartworm Preventative,Grain-free,Active,Humid,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,31,10,Itraconazole,Success,2,,Medium,Moderate,Out of Stock,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Recovered
24823,Poodle,10.7,3.3,Skin allergies,Fungal susceptibility,Beta-blockers,High-protein,Indoor,Dry,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Moderate,38,10,,,0,,Medium,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24824,Golden Retriever,10.6,47.1,Skin allergies,Fungal susceptibility,Insulin,Grain-free,Active,Humid,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Severe,86,10,,,0,"Penicillin, Ketoconazole",High,Moderate,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
24825,Chihuahua,3.1,27.0,,Fungal susceptibility,Beta-blockers,Grain-free,Indoor,Cold,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,15,5,Cephalexin,Partial,2,,Medium,Expensive,Backorder,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Improved
24826,Yorkshire Terrier,10.6,13.0,Eye infections,,Insulin,Grain-free,Indoor,Dry,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,36,9,Amoxicillin,Partial,1,Ketoconazole,Medium,Moderate,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24827,Shih Tzu,11.4,43.7,Skin allergies,Fungal susceptibility,Beta-blockers,Grain-free,Outdoor,Wet,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,65,1,Itraconazole,Partial,3,Penicillin,Medium,Affordable,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
24828,Bulldog,12.3,14.4,Skin allergies,Fungal susceptibility,Heartworm Preventative,Grain-free,Outdoor,Humid,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Mild,61,1,Fluconazole,Adverse Reaction,1,,Low,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24829,Chihuahua,12.2,21.8,,,Insulin,Balanced,Active,Wet,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,27,9,,,0,,Low,Moderate,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
24830,Labrador,4.4,10.1,,Fungal susceptibility,Antihistamines,High-protein,Indoor,Tropical,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,58,1,Cephalexin,Partial,3,,Medium,Affordable,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
24831,Yorkshire Terrier,13.7,22.5,Skin allergies,Dermatitis,Beta-blockers,Grain-free,Outdoor,Cold,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,87,8,Itraconazole,Partial,1,Cephalexin,Medium,Affordable,Backorder,Itraconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Recovered
24832,Shih Tzu,13.1,9.7,Allergy to Penicillin,Dermatitis,Antihistamines,Grain-free,Indoor,Wet,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,52,2,Fluconazole,Adverse Reaction,2,Cephalexin,Low,Expensive,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24833,Golden Retriever,11.6,7.3,Skin allergies,Fungal susceptibility,Antihistamines,Grain-free,Active,Dry,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,13,9,Ketoconazole,Failure,1,,Low,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
24834,Labrador,0.8,49.8,,Dermatitis,Beta-blockers,Hypoallergenic,Outdoor,Cold,Up-to-date,Neutered,Single-pet,Fungal Infections,Mild,34,8,,,0,,High,Moderate,Limited,Ketoconazole,"Coconut oil, Tea tree oil, Calendula",Improved
24835,Boxer,1.6,24.2,Skin allergies,Fungal susceptibility,,High-protein,Active,Cold,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Mild,90,9,Itraconazole,Failure,2,Cephalexin,High,Moderate,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
24836,Border Collie,13.2,41.3,Eye infections,Dermatitis,,High-protein,Indoor,Cold,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Mild,97,7,Amoxicillin,Success,2,,Medium,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
24837,Golden Retriever,7.3,31.3,Eye infections,Fungal susceptibility,,Grain-free,Active,Dry,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Moderate,79,8,Amoxicillin,Success,3,,High,Expensive,Limited,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
24838,Border Collie,9.6,7.3,Skin allergies,Fungal susceptibility,Antihistamines,Grain-free,Indoor,Humid,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Moderate,31,4,Cephalexin,Adverse Reaction,2,,Low,Affordable,Backorder,Ketoconazole,"Coconut oil, Tea tree oil, Calendula",Improved
24839,Shih Tzu,4.6,16.4,Skin allergies,Fungal susceptibility,Antihistamines,Low-sodium,Active,Temperate,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Moderate,16,7,Cephalexin,Success,2,"Penicillin, Ketoconazole",High,Affordable,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
24840,Border Collie,6.0,15.1,Allergy to Penicillin,Dermatitis,Beta-blockers,High-protein,Active,Cold,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,17,1,,,0,Ketoconazole,Medium,Affordable,Backorder,Fluconazole,"Coconut oil, Tea tree oil, Calendula",Stable
24841,Shih Tzu,4.1,19.0,Skin allergies,,Antihistamines,Low-sodium,Indoor,Cold,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Moderate,88,9,,,0,Cephalexin,Low,Moderate,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
24842,Labrador,6.0,25.4,,,Beta-blockers,Grain-free,Indoor,Temperate,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,50,6,,,0,,Low,Expensive,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
24843,Siberian Husky,3.0,39.8,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,Balanced,Outdoor,Tropical,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,33,8,Cephalexin,Success,3,"Penicillin, Ketoconazole",Low,Affordable,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
24844,German Shepherd,13.0,13.9,,,Antihistamines,Grain-free,Outdoor,Wet,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Mild,56,3,,,0,,High,Moderate,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24845,Rottweiler,2.3,36.7,Skin allergies,Fungal susceptibility,Insulin,Hypoallergenic,Outdoor,Tropical,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Severe,42,8,,,0,,Medium,Moderate,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
24846,Golden Retriever,13.9,3.7,Eye infections,Fungal susceptibility,Insulin,Hypoallergenic,Active,Temperate,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,52,9,,,0,Cephalexin,High,Expensive,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
24847,Poodle,0.7,10.8,Allergy to Penicillin,Dermatitis,Antihistamines,Hypoallergenic,Indoor,Humid,Up-to-date,Neutered,Single-pet,Staph Infection,Moderate,21,8,,,0,Penicillin,Low,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
24848,Shih Tzu,10.4,48.3,Eye infections,,,Balanced,Active,Temperate,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Initial,83,2,Cephalexin,Failure,1,,Low,Moderate,In Stock,Itraconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Recovered
24849,Bulldog,11.4,29.5,,,,High-protein,Outdoor,Humid,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Initial,40,7,,,0,,Medium,Affordable,Limited,Ketoconazole,"Coconut oil, Tea tree oil, Calendula",Recovered
24850,German Shepherd,10.7,13.1,Allergy to Penicillin,,Insulin,Low-sodium,Outdoor,Humid,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,51,8,,,0,,Low,Moderate,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
24851,Boxer,10.5,17.4,Allergy to Penicillin,Dermatitis,Beta-blockers,Low-sodium,Outdoor,Wet,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Mild,84,7,Cephalexin,Success,3,,Medium,Affordable,Backorder,Itraconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Stable
24852,Beagle,3.7,13.4,Eye infections,,Antihistamines,Low-sodium,Indoor,Tropical,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,77,10,Fluconazole,Partial,2,Penicillin,Low,Moderate,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
24853,Rottweiler,10.2,38.8,Allergy to Penicillin,Dermatitis,Heartworm Preventative,High-protein,Outdoor,Cold,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Moderate,16,1,,,0,,Medium,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
24854,Siberian Husky,8.9,5.1,Eye infections,Fungal susceptibility,,Balanced,Indoor,Humid,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Moderate,42,4,Itraconazole,Partial,1,,Medium,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
24855,Border Collie,1.1,12.4,Eye infections,Fungal susceptibility,Beta-blockers,Grain-free,Active,Humid,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,87,5,Cephalexin,Partial,3,,Low,Moderate,Limited,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
